,contractor_id,plan_name,primary_trade,ladder_use,scaffolds,confined_space,aerial_lift,cpr_training,excavation,fall_protection,investigation_prgm,fatality_2017,fatality_2018,restricted_day_17,restricted_day_18,lost_days_17,lost_days_18,recordable_17,recordable_18,work_hours_17,work_hours_18,emr_17,emr_18,flame_spark_activity,hoisting_rigging_eq,live_electrical_component,electrical_component,safety_health_program,safety_manager,emp_involvement_plan,emp_performance_evalution,osha_citation,fatality_2019,restricted_day_19,lost_days_19,recordable_19,dart_17,dart_18,dart_19,days_away_cases_17,days_away_cases_18,days_away_cases_19
0,1,1,138,3,3,3,3,3,3,2,2,0,0,0,0,0,7,2,2,260190,432080,0,0,3,3,3,3,2,2,2,2,1,0,67,244,3,0,1,3,0,0,0
1,2,1,219,3,3,3,3,3,3,2,2,0,0,13,13,5,0,3,4,143459,134127,0,0,3,3,3,3,2,2,2,2,1,0,17,14,7,1,0,5,0,0,0
2,3,0,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,6603,6709,1,0,3,3,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
3,4,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,80307,93090,1,0,3,3,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
4,5,1,138,3,3,1,3,3,3,2,2,0,0,2,2,1,8,4,4,213381,235268,0,0,3,3,3,3,2,2,2,2,1,0,9,0,1,3,3,1,0,0,0
5,6,1,73,3,3,3,3,3,3,2,2,0,0,75,75,189,100,8,15,1234238,1828533,1,1,3,3,3,3,2,2,2,2,1,0,0,329,15,4,2,3,0,0,0
6,7,1,227,3,3,1,3,3,1,2,2,0,0,0,0,0,0,0,0,51445,50084,0,0,1,1,1,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
7,8,1,66,3,3,1,3,3,1,2,2,0,0,0,0,0,0,0,2,54041,67663,1,1,1,1,1,3,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0
8,9,1,76,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,72935,83596,1,0,1,3,3,3,2,1,2,2,1,0,0,1,1,0,0,1,0,0,0
9,10,1,69,3,1,3,3,3,1,2,2,0,0,0,0,0,0,0,0,125725,101746,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
10,11,0,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
11,12,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
12,13,1,227,3,3,3,3,1,1,2,2,0,0,0,0,0,23,0,1,48,40002,0,0,3,3,3,3,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0
13,14,1,94,3,3,3,3,3,3,2,2,0,0,0,0,116,22,3,4,170125,150718,0,0,3,3,1,3,2,2,1,1,1,0,0,42,2,2,1,2,0,0,0
14,15,1,227,3,3,3,3,1,3,2,2,0,0,0,0,181,2,7,2,255310,285209,0,0,1,3,3,3,2,1,2,2,1,0,0,69,8,1,2,2,0,0,0
15,16,1,164,3,3,3,3,3,1,2,2,0,0,8,8,8,109,4,5,454746,617468,0,0,3,3,3,3,2,2,2,2,1,0,17,40,3,4,5,3,0,0,0
16,17,1,143,3,3,3,3,3,3,2,2,0,0,0,0,1,0,3,4,91550,99489,0,0,3,3,3,3,2,1,2,2,2,0,17,10,6,0,0,2,0,0,0
17,18,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
18,19,1,96,3,3,3,3,3,1,2,2,0,0,0,0,183,0,7,1,77405,86189,0,1,1,3,1,3,2,2,2,2,2,0,0,0,1,2,0,0,0,0,0
19,20,1,302,3,1,3,1,3,3,2,2,0,0,0,0,65,50,6,2,151585,170327,0,1,3,3,1,1,2,2,2,1,1,0,0,0,0,2,2,0,0,0,0
20,21,1,227,3,3,3,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
21,22,1,227,3,3,3,1,1,1,2,2,0,0,0,0,123,0,1,0,158377,138965,0,0,3,3,3,3,2,2,2,2,1,0,0,152,1,1,0,1,0,0,0
22,23,1,227,3,3,3,3,3,3,2,2,0,0,0,0,180,0,2,0,81396,70019,0,0,3,3,3,3,2,1,2,2,1,0,0,0,1,1,0,0,0,0,0
23,24,1,227,3,3,3,1,3,3,2,2,0,0,218,218,197,160,13,12,1796894,1824125,0,0,3,2,1,3,2,2,2,2,1,0,436,554,14,8,8,11,0,0,0
24,25,1,227,3,3,1,3,1,1,2,2,0,0,0,0,48,0,6,0,126052,145893,0,0,3,1,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0
25,26,1,227,3,3,3,3,3,3,2,2,0,0,71,71,14,717,6,12,1732979,1981696,0,0,3,3,3,3,2,2,2,2,1,0,110,363,23,3,7,17,0,0,0
26,27,1,227,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
27,28,2,227,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
28,29,1,41,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,26295,26585,0,0,3,3,1,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
29,30,1,227,3,3,3,3,3,3,2,2,0,0,190,190,57,248,12,14,537258,631313,0,0,3,3,3,3,2,2,2,2,1,0,172,0,8,4,9,6,0,0,0
30,31,1,17,3,3,3,3,3,3,2,2,0,0,0,0,20,180,2,1,158810,148524,0,0,3,3,3,3,2,1,2,2,1,0,0,20,2,2,1,1,0,0,0
31,32,1,227,3,3,3,3,3,3,2,2,0,0,1,1,381,7,12,8,2110237,2228544,0,0,3,3,3,3,2,2,2,2,2,0,0,122,6,6,1,1,0,0,0
32,33,1,238,3,3,3,3,3,1,2,2,0,0,0,0,53,0,2,2,109156,129359,0,0,3,3,1,3,2,1,2,2,2,0,0,0,0,2,1,0,0,0,0
33,34,1,73,3,3,3,3,3,1,2,2,0,0,0,0,529,183,8,9,438253,514789,1,1,3,1,1,3,2,2,2,2,1,0,0,253,10,4,4,3,0,0,0
34,35,1,164,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,89274,93080,0,0,1,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
35,36,1,227,3,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
36,37,2,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,7324,7809,0,0,3,1,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
37,38,1,336,3,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0
38,39,1,94,2,2,2,2,3,2,2,2,0,0,0,0,5,0,3,1,108356,109497,1,1,3,3,1,2,2,2,2,2,1,0,0,112,6,2,0,4,0,0,0
39,40,1,164,3,3,3,3,3,3,2,2,0,0,2,2,243,231,10,16,1392390,1600678,0,0,3,3,3,3,2,2,2,2,2,0,28,0,6,5,4,1,0,0,0
40,41,1,316,3,3,1,3,3,1,2,2,0,0,4,4,739,617,23,25,632160,717805,0,0,3,3,1,3,2,2,2,2,2,0,3,478,24,16,12,11,0,0,0
41,42,1,238,3,3,3,3,3,3,2,2,0,0,0,0,43,22,1,3,348337,467944,0,0,1,3,3,3,2,1,2,2,1,0,0,182,2,0,3,2,0,0,0
42,43,2,227,3,3,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
43,44,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,107,0,6,347729,519495,0,0,3,3,1,2,2,2,2,2,1,0,0,0,4,0,5,0,0,0,0
44,45,1,79,3,3,3,3,3,3,2,2,0,0,213,213,165,546,18,12,441957,463408,1,0,3,3,1,3,2,2,2,2,2,0,36,753,11,16,11,11,0,0,0
45,46,1,227,3,3,3,3,3,3,2,2,0,0,0,0,385,148,14,10,702163,479521,0,0,3,3,2,3,2,2,2,2,1,0,0,0,0,5,3,0,0,0,0
46,47,1,227,3,3,3,3,1,2,2,2,0,0,74,74,72,203,9,21,240064,301550,0,0,3,3,3,3,2,2,2,1,1,0,0,155,5,5,10,3,0,0,0
47,48,1,316,3,3,2,3,3,1,2,2,0,0,95,95,9,193,5,4,396256,447387,0,0,3,3,1,3,2,2,2,2,2,0,23,357,5,4,4,5,0,0,0
48,49,1,227,3,3,3,3,3,3,2,2,0,0,308,308,423,625,52,25,1061351,2213182,0,0,3,3,3,3,2,2,2,2,1,0,636,780,35,52,25,32,0,0,0
49,50,1,68,3,3,1,3,3,1,2,2,0,0,74,74,24,0,7,3,163858,158150,0,0,1,3,1,3,2,1,2,2,1,0,0,3,1,3,1,1,0,0,0
50,51,1,17,3,3,3,3,3,3,2,2,0,0,0,0,2,180,3,1,256839,142776,0,0,3,3,3,3,2,2,2,2,1,0,52,325,5,2,1,5,0,0,0
51,52,1,227,3,3,3,3,1,1,2,2,0,0,0,0,254,292,4,5,257424,257808,0,0,3,1,3,3,2,2,2,2,1,0,0,304,11,3,2,7,0,0,0
52,53,1,227,3,1,1,3,3,1,2,2,0,0,0,0,0,0,2,3,1181842,1165155,0,0,1,1,1,1,2,2,2,2,1,0,0,0,1,0,1,0,0,0,0
53,54,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,3,551132,569569,0,0,3,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
54,55,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,5,5,434257,445842,0,0,3,3,3,1,2,2,2,2,1,0,20,2,7,0,2,3,0,0,0
55,56,1,227,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
56,57,1,249,3,3,1,3,3,3,2,1,0,0,1,1,347,183,5,2,131719,122239,0,1,3,1,1,1,2,1,1,1,2,0,0,1,1,5,2,1,0,0,0
