,contractor_id,plan_name,primary_trade,ladder_use,scaffolds,confined_space,aerial_lift,cpr_training,excavation,fall_protection,investigation_prgm,fatality_2017,fatality_2018,restricted_day_17,restricted_day_18,lost_days_17,lost_days_18,recordable_17,recordable_18,work_hours_17,work_hours_18,emr_17,emr_18,flame_spark_activity,hoisting_rigging_eq,live_electrical_component,electrical_component,safety_health_program,safety_manager,emp_involvement_plan,emp_performance_evalution,osha_citation,fatality_2019,restricted_day_19,lost_days_19,recordable_19,dart_17,dart_18,dart_19,days_away_cases_17,days_away_cases_18,days_away_cases_19,fatal_19_mis,lost_days_19_mis,restricted_mis,recordable_mis,fatal_18_mis,fatal_17_mis
0,1,> $1M,Facility Remediation,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,260190.0,432080.0,0.72,0.87,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,67.0,244.0,3.0,0.0,1.0,3.0,,,,1,1,1,1,1,1
1,2,> $1M,Membrane Roofing,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,13.0,13.0,5.0,0.0,3.0,4.0,143459.0,134127.0,0.83,0.87,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,17.0,14.0,7.0,1.0,0.0,5.0,,,,1,1,1,1,1,1
2,3,$500K or less,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,on,on,on,on,0.0,0.0,6603.0,6709.0,1.0,on,yes,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
3,4,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80307.0,93090.0,1.02,0.96,yes,yes,na,na,yes,yes,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
4,5,> $1M,Facility Remediation,yes,yes,na,yes,yes,yes,yes,yes,0.0,0.0,2.0,2.0,1.0,8.0,4.0,4.0,213381.25,235268.0,0.77,0.8,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,9.0,0.0,1.0,3.0,3.0,1.0,,,,1,1,1,1,1,1
5,6,> $1M,Division 22 - Plumbing,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,75.0,75.0,189.0,100.0,8.0,15.0,1234238.0,1828533.0,1.14,1.09,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,0.0,329.0,15.0,4.0,2.0,3.0,,,,1,1,1,1,1,1
6,7,> $1M,,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51445.0,50084.0,0.84,0.85,na,na,na,yes,yes,no,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
7,8,> $1M,Division 10 - Specialties,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54041.0,67663.0,1.12,1.12,na,na,na,yes,yes,yes,yes,yes,no,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
8,9,> $1M,Division 26 - Electrical,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72935.0,83596.0,1.06,0.89,na,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,1,1,1,1,1,1
9,10,> $1M,Division 13 - Special Construction,yes,na,yes,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125725.0,101746.0,0.79,0.87,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
