,contractor_id,true_recordable,recordable_19_pred
0,16168,2,1
1,18109,0,0
2,16579,2,1
3,10566,0,0
4,13499,1,1
5,968,5,5
6,14081,3,11
7,18462,0,0
8,213,0,0
9,19139,0,0
10,18130,0,1
11,17581,0,0
12,15682,9,6
13,19947,2,7
14,7038,3,3
15,16778,1,4
16,20336,0,0
17,21666,1,0
18,15878,0,2
19,6868,3,1
20,10521,6,7
21,14772,1,1
22,16063,0,0
23,16885,0,0
24,20557,0,0
25,17469,0,0
26,18305,0,0
27,15457,1,1
28,17143,4,2
29,18975,15,7
30,19356,0,0
31,5666,11,12
32,8375,0,0
33,17094,0,0
34,15301,3,0
35,17673,46,35
36,20466,0,1
37,18065,3,3
38,16588,0,1
39,19000,1187,1008
40,4110,3,80
41,21048,2,0
42,7524,1,1
43,20472,0,0
44,15925,3,2
45,12314,0,1
46,19230,0,0
47,5408,3,3
48,19239,0,0
49,20058,0,0
50,14825,0,0
51,19987,0,0
52,17497,0,0
53,11089,0,0
54,20250,4,2
55,20326,0,0
56,16425,1,1
57,17684,1,0
58,17558,2,3
59,19950,0,0
60,9376,0,0
61,19563,0,0
62,17661,0,0
63,17022,0,0
64,1623,0,0
65,10969,0,3
66,16786,5,6
67,11436,3,2
68,19519,1,1
69,16458,0,1
70,345,0,0
71,4649,0,0
72,17909,0,0
73,405,0,2
74,3807,2,2
75,7656,2,4
76,21831,3,2
77,7331,14,0
78,16179,0,1
79,5654,1,1
80,4364,0,0
81,14283,0,18
82,6877,0,1
83,20534,0,0
84,19732,7,7
85,3129,0,1
86,15753,1,1
87,14551,0,0
88,18944,0,0
89,20249,0,0
90,15642,0,0
91,16757,0,0
92,15245,389,402
93,13148,7,5
94,17405,0,0
95,3050,0,1
96,18375,0,0
97,10886,0,0
98,13270,10,21
99,17838,0,0
100,10794,0,1
101,6794,0,0
102,818,0,3
103,3025,0,0
104,16121,0,1
105,10352,0,0
106,960,2,3
107,12027,0,0
108,8212,0,1
109,17033,0,0
110,19404,0,0
111,17346,0,0
112,13247,0,0
113,17136,0,0
114,14440,0,0
115,11234,4,4
116,6661,14,10
117,8297,0,0
